Genus	Pustular Layer 1 (0-2 mm)	Pustular Layer 2 (2-4 mm)	Pustular Layer 3 (4-6 mm)	Pustular Layer 4 (6-8 mm)	Pustular Layer 5 (8-10 mm)	Smooth Layer 1  (0-2 mm)	Smooth Layer 2  (2-4 mm)	Smooth Layer 3 (4-6 mm)	Smooth Layer 4 (6-8 mm)	Smooth Layer 5 (8-10 mm)	Smooth Layer 6 (10-12 mm)	Smooth Layer 7 (12-14 mm)	Smooth Layer 8 (14-16 mm)	Smooth Layer 9 (16-18 mm)	Smooth Layer 10 (18-20 mm)
Staphylothermus	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.03	0.01
Halobacterium	0.02	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
Halosimplex	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Pyrodictium	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.07
Caldivirga	0.04	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.02
Nanoarchaeum	0.00	0.00	0.00	0.00	0.00	0.01	0.02	0.00	0.01	0.01	0.00	0.01	0.00	0.01	0.01
Halopelagius	0.01	0.00	0.01	0.01	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
XKL75	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Thermosphaera	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
Methanomassiliicoccus	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
Haloterrigena	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hyperthermophilic	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.03
Natronolimnobius	0.01	0.01	0.01	0.01	0.02	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Natronorubrum	0.00	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.00
Hyperthermus	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.01	0.01
Methanocella	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Methanobacterium	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Natrialba	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
Acidilobus	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.01	0.02	0.01	0.00	0.01	0.00
